ST	n
ST641	28
ST6448	1
ST6453	3
ST6454	1
ST6455	1
ST6456	1
ST6457	1
ST6458	1
ST646	46
ST6464	1
ST648	342
ST6489	1
ST6496	1
ST652	3
ST6520	1
ST6524	1
ST6527	1
ST6537	1
ST654	2
ST656	2
ST657	4
ST6570	2
ST6571	1
ST6574	1
ST6578	1
ST6588	3
ST6599	1
ST6600	2
ST6603	1
ST6610	1
ST6613	1
ST6614	1
ST6616	1
ST6618	1
ST6619	1
ST6620	1
ST6621	1
ST6630	1
ST6634	1
ST665	2
ST6664	1
ST6669	3
ST667	1
ST6683	2
ST6690	3
ST67	1
ST6701	5
ST6726	1
ST6745	1
ST675	1
ST6756	1
ST676	7
ST6778	1
ST678	3
ST6784	1
ST68	36
ST681	29
ST6817	1
ST683	6
ST685	3
ST6870	3
ST6874	1
ST69	965
ST694	1
ST695	1
ST697	1
ST6975	1
ST6981	2
ST6984	2
ST6991	1
ST6994	1
ST6998	6
ST6999	2
ST70	19
ST701	1
ST7011	1
ST703	2
ST7036	1
ST706	13
ST7063	1
ST707	1
ST7092	2
ST7094	2
ST710	1
ST711	3
ST714	5
ST718	2
ST72	1
ST720	4
ST7212	1
ST7219	1
ST7221	1
ST7233	1
ST7238	1
ST73	1385
ST7304	1
ST731	1
ST7340	1
ST7341	1
ST7343	1
ST737	4
ST7388	1
ST7389	1
ST7390	1
ST7391	1
ST74	2
ST7401	6
ST7428	1
ST744	87
ST746	8
ST75	7
ST7505	1
ST753	2
ST756	1
ST7581	4
ST7593	1
ST761	4
ST7611	1
ST7614	1
ST7616	1
ST7635	1
ST767	2
ST7698	1
ST77	1
ST770	3
ST7706	1
ST7724	1
ST773	4
ST778	1
ST7804	8
ST7805	1
ST783	2
ST7836	1
ST7841	1
ST7843	1
ST7870	1
ST7887	3
ST7893	1
ST79	4
ST7900	1
ST796	3
ST7961	1
ST80	98
ST8010	1
ST8011	1
ST8052	1
ST808	1
ST8091	1
ST8098	3
ST810	1
ST811	1
ST8122	1
ST8125	3
ST8137	2
ST8151	1
ST8157	1
ST8184	3
ST8190	1
ST8196	2
ST8197	1
ST8211	2
ST8257	5
ST8262	1
ST8281	1
ST83	46
ST8346	9
ST8347	6
ST8350	1
ST8369	1
ST8371	5
ST8372	1
ST8374	1
ST8398	1
ST8410	1
ST8416	1
ST8417	1
ST8418	1
ST8419	1
ST8433	1
ST844	1
ST8441	1
ST8442	1
ST8445	1
ST8448	1
ST8449	1
ST8450	1
ST8451	1
ST8453	1
ST8466	1
ST847	12
ST8487	1
ST8492	11
ST8497	1
ST8498	1
ST8500	1
ST8502	1
ST8503	1
ST8504	1
ST8505	1
ST8514	1
ST8529	1
ST8530	1
ST8531	1
ST8534	1
ST8558	1
ST8563	1
ST8576	1
ST8587	1
ST8588	3
ST8590	1
ST86	5
ST8606	1
ST8611	1
ST8671	17
ST8673	1
ST8677	2
ST8709	1
ST871	1
ST88	144
ST8834	1
ST8835	2
ST8881	3
ST8886	1
ST8888	1
ST8896	1
ST8915	1
ST8936	1
ST8938	2
ST8951	1
ST8959	2
ST8977	1
ST8979	1
ST898	1
ST8990	1
ST8995	1
ST8996	1
ST90	28
ST9007	1
ST9008	1
ST9009	1
ST9012	1
ST9013	1
ST9024	2
ST906	16
ST9066	2
ST9074	1
ST9096	2
ST91	18
ST9111	1
ST9113	1
ST9116	1
ST9121	1
ST9122	1
ST9123	1
ST9126	3
ST9127	1
ST9128	1
ST9129	1
ST9135	1
ST9137	1
ST9138	1
ST9143	1
ST9172	1
ST919	4
ST9204	1
ST9219	1
ST9220	1
ST9221	1
ST9233	1
ST9237	1
ST9239	2
ST9241	1
ST925	4
ST9256	1
ST9257	1
ST9269	1
ST929	30
ST9295	1
ST93	44
ST9315	1
ST9316	2
ST9334	1
ST9355	1
ST937	6
ST939	6
ST940	9
ST942	2
ST9459	1
ST949	3
ST95	954
ST950	1
ST951	2
ST9569	1
ST9570	1
ST9572	1
ST9573	1
ST959	1
ST961	48
ST962	2
ST963	67
ST9651	1
ST967	3
ST968	15
ST969	2
ST9693	1
ST9698	1
ST973	31
ST974	1
ST9748	1
ST977	1
ST9774	2
ST978	14
ST9862	3
ST9870	1
ST9881	1
ST99	5
ST9919	1
ST9962	1
ST998	142
ST999	2
