ST	n
ST12805	1
ST12806	1
ST12807	2
ST12808	2
ST12809	1
ST12810	2
ST12811	3
ST12813	1
ST12814	1
ST12815	1
ST12816	1
ST12817	1
ST12818	1
ST12819	1
ST12820	1
ST12821	1
ST12822	1
ST12823	1
ST12824	1
ST12825	1
ST12827	1
ST12828	1
ST12829	1
ST1283	7
ST12830	1
ST12831	1
ST12832	1
ST12833	1
ST1284	80
ST12840	1
ST12843	1
ST12844	1
ST12845	1
ST12846	1
ST12850	1
ST12856	1
ST1286	115
ST12869	1
ST12870	1
ST12871	1
ST12872	5
ST12873	2
ST12874	1
ST12875	1
ST12876	1
ST12877	1
ST12878	3
ST12879	1
ST1288	9
ST12880	2
ST12881	2
ST12882	1
ST129	48
ST1290	9
ST1291	16
ST12915	1
ST12918	1
ST12919	1
ST12922	1
ST12925	1
ST12926	1
ST12927	1
ST12928	1
ST12929	1
ST1293	2
ST12930	1
ST12931	1
ST12933	1
ST12934	1
ST12935	1
ST12936	1
ST12939	1
ST1294	18
ST12940	2
ST12941	1
ST12942	1
ST12943	1
ST12945	2
ST12946	1
ST12947	2
ST12948	1
ST12949	1
ST1295	2
ST12950	1
ST12951	1
ST12952	1
ST12953	3
ST12955	1
ST12956	2
ST12957	1
ST12959	2
ST12960	1
ST12961	1
ST12962	2
ST12969	1
ST12970	1
ST1298	6
ST12981	1
ST12982	1
ST12986	1
ST12987	1
ST1299	3
ST13	129
ST130	82
ST1300	10
ST13005	3
ST13006	1
ST13007	1
ST13008	1
ST13009	1
ST1301	3
ST1302	10
ST13021	1
